Datetime,PM2.5_Mean,Visibility,RH,Temperature,WindSpeed,BLH
2024-01-10 14:00:00,178.75633333333332,997.79328,93.45,9.0,1.542288,122.4042
2024-01-10 15:00:00,180.90500000000003,1207.008,87.28,9.0,2.056384,129.996
2024-01-10 16:00:00,180.9863333333333,997.79328,93.4,8.0,1.542288,114.40527
2024-01-10 17:00:00,193.093,804.672,93.4,8.0,2.056384,94.65167
2024-01-10 18:00:00,197.85800000000003,804.672,93.4,8.0,1.542288,79.91605
2024-01-10 19:00:00,203.6966666666667,595.45728,100.0,8.0,2.056384,72.975
2024-01-10 20:00:00,217.947,595.45728,100.0,8.0,2.056384,74.27978
2024-01-10 21:00:00,227.2873333333333,498.89664,100.0,8.0,3.084576,77.75882
2024-01-10 22:00:00,219.7903333333333,305.77536000000003,100.0,8.0,3.084576,91.18826
2024-01-10 23:00:00,209.851,96.56064,93.4,8.0,2.57048,110.78288
2024-01-11 00:00:00,184.55633333333333,96.56064,100.0,8.0,3.084576,120.769295
2024-01-11 01:00:00,172.5016666666667,305.77536000000003,93.4,8.0,2.57048,133.27222
2024-01-11 02:00:00,164.31733333333332,595.45728,100.0,7.0,2.056384,144.84146
2024-01-11 03:00:00,158.6843333333333,595.45728,93.4,8.0,2.056384,174.06844
2024-01-11 04:00:00,153.65466666666666,595.45728,93.4,8.0,2.056384,198.59312
2024-01-11 05:00:00,154.8,997.79328,87.37,10.0,1.542288,254.9788
2024-01-11 06:00:00,155.02233333333334,1207.008,76.34,11.0,1.542288,321.43307
2024-01-11 07:00:00,152.45366666666666,1207.008,71.64,13.0,2.57048,385.2564
2024-01-11 08:00:00,156.18166666666667,1496.68992,67.12,14.0,3.084576,457.7186
2024-01-11 09:00:00,175.32344827586206,1496.68992,58.77,15.0,2.056384,513.4835
2024-01-11 10:00:00,183.29310344827587,1496.68992,55.12,16.0,2.056384,507.2672
2024-01-11 11:00:00,206.6385714285714,1496.68992,58.77,15.0,3.084576,468.8297
2024-01-11 12:00:00,219.9022222222222,1496.68992,67.12,14.0,2.57048,164.37505
2024-01-11 13:00:00,216.8492857142857,1496.68992,71.64,13.0,2.056384,77.81999
2024-01-11 14:00:00,203.46633333333332,1496.68992,81.87,12.0,1.542288,68.426025
2024-01-11 15:00:00,187.3646666666667,1496.68992,81.74,11.0,2.056384,65.05728
2024-01-11 16:00:00,178.23166666666668,1496.68992,87.37,10.0,1.542288,63.604218
2024-01-11 17:00:00,174.872,1496.68992,87.37,10.0,2.056384,63.969444
2024-01-11 18:00:00,191.09066666666664,1496.68992,93.45,9.0,1.542288,70.08895
2024-01-11 19:00:00,221.99066666666667,1207.008,93.45,9.0,2.056384,88.7598
2024-01-11 20:00:00,244.46266666666665,901.23264,100.0,8.0,1.542288,95.4459
2024-01-11 21:00:00,255.7693333333333,804.672,93.4,8.0,1.542288,87.63045
2024-01-11 22:00:00,258.137,193.12128,100.0,7.0,1.542288,68.27673
2024-01-11 23:00:00,236.511,0.0,100.0,6.0,2.056384,68.894905
2024-01-12 00:00:00,219.259,0.0,100.0,6.0,2.056384,67.74236
2024-01-12 01:00:00,186.3263333333333,0.0,100.0,6.0,2.57048,69.86488
